Product,Unit of Measurement,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23
Canned salmon,per kilogram,13.33,13.94,22.58,22.49,17.93,20.61,22.25
Canned tuna,per kilogram,10,10,10.65,11.12,9.47,10.88,12.65
Canned baked beans,per liter,3.22,3.12,3.42,3.54,3.62,4.27,5
Canned tomatoes,per liter,1.95,1.75,2.14,2.3,2.06,2.14,2.51
Canned soup,per liter,2.92,2.89,2.71,3.06,3.31,4.75,4.93
Canned beans and lentils,per liter,2.46,2.39,2.78,2.87,2.74,3.3,3.28
Canned corn,per liter,3.17,3.26,3.64,4.25,3.9,5.34,4.55
Canned peach,per liter,5.2,5.83,5.4,5.85,5.7,6.63,7.36
Canned pear,per liter,5.05,5.1,5.35,5.98,5.8,6.61,7.59
