Product,Unit of Measurement,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Canned salmon,per kilogram,19.34,22.35,20,19.62,19.81,23.29,21.92,22.82,21.17,22.86,22.96,22.25
Canned tuna,per kilogram,11.88,10.65,12.71,10.47,11.76,11.59,11.71,11.65,12.24,11.65,12.65,12.65
Canned baked beans,per liter,4.6,4.35,4.37,4.6,4.85,4.37,4.82,4.7,4.42,4.72,4.92,5
Canned tomatoes,per liter,2.3,2.06,2.53,2.26,2.58,2.42,2.42,2.7,2.86,2.74,2.74,2.51
Canned soup,per liter,5.81,4.01,6.2,4.54,5.85,5.63,6.58,5.39,5.32,6.09,4.19,4.93
Canned beans and lentils,per liter,3.13,3.17,3.33,3.46,3.52,3.46,3.67,3.54,3.65,3.72,3.35,3.28
Canned corn,per liter,3.93,4.55,3.55,4.13,5.51,4.46,4.28,5.1,5.19,5.37,5.28,4.55
Canned peach,per liter,6.56,6.46,6.13,6.88,7.31,8.19,7.54,7.41,7.46,7.24,7.21,7.36
Canned pear,per liter,6.51,6.48,6.28,6.91,7.19,6.76,6.91,7.04,7.41,7.26,7.41,7.59
