Product,Unit of Measurement,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23
Canned salmon,213 grams,2.84,2.97,4.81,4.79,3.82,4.39,4.74
Canned tuna,170 grams,1.7,1.7,1.81,1.89,1.61,1.85,2.15
Canned baked beans,398 mililiters,1.28,1.24,1.36,1.41,1.44,1.7,1.99
Canned tomatoes,796 mililiters,1.55,1.39,1.7,1.83,1.64,1.7,2
Canned soup,284 mililiters,0.83,0.82,0.77,0.87,0.94,1.35,1.4
Canned beans and lentils,540 mililiters,1.33,1.29,1.5,1.55,1.48,1.78,1.77
Canned corn,341 mililiters,1.08,1.11,1.24,1.45,1.33,1.82,1.55
Canned peach,398 mililiters,2.07,2.32,2.15,2.33,2.27,2.64,2.93
Canned pear,398 mililiters,2.01,2.03,2.13,2.38,2.31,2.63,3.02
